_id,synthetic_question,synthetic_answer
26084478,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for your convenience."
6589965,Are there any accessibility features for people with disabilities at this property?,"The property listing does not mention any specific accessibility features for people with disabilities, such as wheelchair access or adapted bathrooms. However, it does state that the apartment has its own private entrance at the front and back, and both entrances are very secure."
6589965,What type of parking is available at the property?,The property offers free street parking and paid parking off premises.
18730346,Is the property wheelchair accessible?,"Unfortunately, the property description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It would be best to contact the host directly to inquire about specific accessibility needs and to ensure the property can accommodate any special requirements."
18730346,Is there a kitchen available for guest use?,"Yes, the kitchen is equipped and accessible to guests."
18730346,Is there a kitchen available for guests to use?,"Yes, there is a kitchen equipped for guests to use."
16195143,Are there any accessibility features for guests with disabilities?,"Yes, the property offers step-free access to the common areas, including the kitchen, dining room, and bathrooms, ensuring easy navigation for guests with mobility challenges."
16195143,Is there a balcony or patio available for guests to use?,"Yes, guests can enjoy use of the backyard and balcony."
16195143,Does the listing have a TV?,"Yes, the listing includes a TV with cable."
12010910,Is the apartment wheelchair accessible?,The listing does not provide any information on wheelchair accessibility.
12010910,Does the apartment have a balcony?,"Yes, the apartment has two balconies and a small outdoor terrace with a table for six people, a sun guard, and a garden swing."
12010910,Does the apartment have a kitchen?,"Yes, the apartment includes a kitchen as one of its amenities."
18772566,Are there any accessibility features for guests with disabilities?,"Unfortunately, the listing does not mention any specific accessibility features for guests with disabilities. It mentions a washer/dryer in the bathroom, but it's not clear if this is accessible for those with limited mobility. The listing does not mention any wheelchair accessibility or accommodations for other disabilities."
